Away,Home,Away Q1,Away Q2,Away Q3,Away Q4,Home Q1,Home Q2,Home Q3,Home Q4
Chicago Bears,San Francisco 49ers,0,0,0,0,3,6,3,3
San Francisco 49ers,Miami Dolphins,7,8,8,8,0,6,6,6
New England Patriots,New York Jets,3,3,3,6,0,7,4,4
San Francisco 49ers,New York Giants,0,3,3,3,3,0,7,7
Cleveland Browns,Miami Dolphins,7,4,1,1,3,3,7,4
Dallas Cowboys,Los Angeles Rams,0,0,0,0,3,3,3,0
New York Giants,Chicago Bears,0,0,0,0,7,7,1,1
New England Patriots,Los Angeles Raiders,7,7,7,7,3,0,0,0
Los Angeles Rams,Chicago Bears,0,0,0,0,0,0,7,4
New England Patriots,Miami Dolphins,3,7,4,1,0,7,7,4
New England Patriots,Chicago Bears,3,3,3,0,3,3,4,6
Kansas City Chiefs,New York Jets,6,6,6,5,7,1,8,5
Los Angeles Rams,Washington Redskins,0,0,0,7,0,3,6,9
New York Jets,Cleveland Browns,7,0,3,0,7,0,0,0
Washington Redskins,Chicago Bears,7,7,4,7,0,3,3,3
New England Patriots,Denver Broncos,0,0,7,7,3,0,0,2
San Francisco 49ers,New York Giants,3,3,3,3,7,8,9,9
Denver Broncos,Cleveland Browns,0,0,3,0,7,0,0,0
Washington Redskins,New York Giants,0,0,0,0,0,7,7,7
New York Giants,Denver Broncos,7,9,6,9,0,0,0,0
Minnesota Vikings,New Orleans Saints,0,1,4,4,7,0,0,0
Seattle Seahawks,Houston Oilers,7,0,3,0,3,3,0,0
Indianapolis Colts,Cleveland Browns,7,4,4,1,7,4,1,8
Minnesota Vikings,San Francisco 49ers,3,0,0,6,3,3,7,4
Houston Oilers,Denver Broncos,0,3,3,0,4,4,7,4
Washington Redskins,Chicago Bears,0,4,1,1,7,4,7,7
Cleveland Browns,Denver Broncos,0,3,4,3,4,1,1,8
Minnesota Vikings,Washington Redskins,0,7,7,0,7,7,0,7
Washington Redskins,Denver Broncos,0,5,5,2,0,0,0,0
Houston Oilers,Cleveland Browns,0,4,4,4,3,9,6,3
Los Angeles Rams,Minnesota Vikings,0,7,0,7,4,4,1,8
Philadelphia Eagles,Chicago Bears,3,9,2,2,7,7,7,0
Seattle Seahawks,Cincinnati Bengals,0,0,0,3,7,1,1,1
Houston Oilers,Buffalo Bills,0,3,3,0,0,7,4,7
Minnesota Vikings,San Francisco 49ers,3,3,9,9,7,1,1,4
Buffalo Bills,Cincinnati Bengals,0,0,0,0,7,4,4,1
San Francisco 49ers,Chicago Bears,7,4,1,8,0,3,3,3
San Francisco 49ers,Cincinnati Bengals,3,3,6,0,0,3,3,6
Pittsburgh Steelers,Houston Oilers,7,0,3,3,0,6,9,3
Los Angeles Rams,Philadelphia Eagles,4,4,4,1,0,0,0,7
Buffalo Bills,Cleveland Browns,7,4,1,0,3,7,1,4
Minnesota Vikings,San Francisco 49ers,3,3,6,3,7,7,7,1
Pittsburgh Steelers,Denver Broncos,3,7,0,3,0,0,7,4
Los Angeles Rams,New York Giants,0,7,7,3,6,6,3,3
Cleveland Browns,Denver Broncos,0,0,1,1,3,0,4,7
Los Angeles Rams,San Francisco 49ers,3,3,3,3,0,1,4,0
San Francisco 49ers,Denver Broncos,3,7,1,5,3,3,0,0
Kansas City Chiefs,Miami Dolphins,3,0,6,6,0,3,3,7
Washington Redskins,Philadelphia Eagles,0,0,0,0,3,6,6,6
New Orleans Saints,Chicago Bears,0,3,3,6,3,0,3,6
Houston Oilers,Cincinnati Bengals,0,0,7,4,0,0,4,1
Miami Dolphins,Buffalo Bills,3,7,0,4,3,7,0,4
Washington Redskins,San Francisco 49ers,0,0,0,0,7,1,1,8
Chicago Bears,New York Giants,0,3,3,3,0,7,4,1
Cincinnati Bengals,Los Angeles Raiders,0,3,3,0,0,7,0,0
Los Angeles Raiders,Buffalo Bills,3,3,3,3,1,1,1,1
New York Giants,San Francisco 49ers,3,6,9,5,3,6,3,3
New York Giants,Buffalo Bills,3,0,7,0,3,2,2,9
Atlanta Falcons,New Orleans Saints,0,0,7,7,7,3,3,0
Los Angeles Raiders,Kansas City Chiefs,0,3,6,6,0,7,7,0
Dallas Cowboys,Chicago Bears,0,0,7,7,0,3,6,3
New York Jets,Houston Oilers,0,0,0,0,7,4,4,7
Houston Oilers,Denver Broncos,4,1,1,4,6,3,6,6
Atlanta Falcons,Washington Redskins,0,7,7,7,0,4,7,4
Kansas City Chiefs,Buffalo Bills,0,0,7,4,7,7,4,7
Dallas Cowboys,Detroit Lions,3,6,6,6,7,7,1,8
Denver Broncos,Buffalo Bills,0,0,0,7,0,0,7,0
Detroit Lions,Washington Redskins,0,0,0,0,0,7,7,1
Washington Redskins,Buffalo Bills,0,7,1,7,0,0,0,4
Kansas City Chiefs,San Diego Chargers,0,0,0,0,0,0,0,7
Washington Redskins,Minnesota Vikings,3,7,4,4,7,7,7,7
Houston Oilers,Buffalo Bills,7,8,5,8,3,3,1,8
Philadelphia Eagles,New Orleans Saints,7,7,0,6,7,7,0,0
Washington Redskins,San Francisco 49ers,3,3,6,3,7,7,7,0
Buffalo Bills,Pittsburgh Steelers,0,7,4,4,3,3,3,3
Philadelphia Eagles,Dallas Cowboys,3,3,3,0,7,7,7,4
San Diego Chargers,Miami Dolphins,0,0,0,0,0,1,1,1
Dallas Cowboys,San Francisco 49ers,3,0,7,0,7,0,3,0
Buffalo Bills,Miami Dolphins,3,3,3,9,3,3,3,0
Dallas Cowboys,Buffalo Bills,4,8,1,2,7,0,7,7
